,Name,Place_id,Lat,Lng,Rating,Rating_n,Albilad
0,SNB AlAhli ATM,ChIJOxc0UMGtqRURKbUaHpf1p6M,28.4073125,36.5398125,2.3,3,
1,Al Rajhi ATM,ChIJdyQ9GsytqRUR6qNSjQwPcAQ,28.3969408,36.53823939999999,3.9,8,
2,ATM AlRajhi Bank,ChIJuYwAmOwHLz4RlGNcir2xtV0,24.65823529999999,46.81129129999999,2.9,9,
3,NCB ATM,ChIJ_Zot4u8HLz4RihFclmZPcxM,24.6529169,46.816381299999996,4.5,6,
4,Alinma Bank | مصرف الإنماء,ChIJj6_men4FLz4R4o3GyZWzxm8,24.604470000000003,46.70497899999999,3.6,126,
5,Alinma Bank | مصرف الإنماء,ChIJj6_men4FLz4R4o3GyZWzxm8,24.604470000000003,46.70497899999999,3.6,126,
6,بنك انجاز للتحويل المصرفي,ChIJJ6paJ4IFLz4RAHkcoU7jqrw,24.609419600000003,46.7107471,3.2,17,
7,Al Rajhi Bank,ChIJL2n1aHYFLz4RqrAWqnzBjHo,24.6168845,46.7075432,3.5,35,
8,ATM National Commercial Bank,ChIJmc6hUYQFLz4RxgfKnSVg7UQ,24.613214300000003,46.71604480000001,4.5,2,
9,Alinma ATM,ChIJuxuLBXQFLz4RVZgIE9yvb7E,24.61729020000001,46.70457329999999,4.2,5,
10,SABB,ChIJTdjMF6YFLz4REHiJwZdtciw,24.605461,46.71112509999999,4.0,2,
11,بنك الرياض,ChIJ4ULToUIDLz4R6WeKzmrnTBw,24.684047699999997,46.68961059999999,3.6,69,
12,Al Rajhi Bank,ChIJa11wIWgDLz4RtuuUYrUkaac,24.684520300000003,46.6901912,2.7,62,
13,SNB AlAhli,ChIJ8e9U8GoDLz4R758t0pn9jg0,24.6911733,46.691519,2.6,90,
14,برج بنك البلاد - مقر الإدارة العامة الجديد,ChIJoTl3nZYDLz4RBVc5_N3-boU,24.6768375,46.6878961,3.6,112,Yes
15,SABB,ChIJedkGs0ADLz4RT2CI_CjmMPo,24.6901042,46.685124200000004,2.7,21,
16,Banque Saudi Fransi,ChIJqxci6oUDLz4RbsaM2LRN_bw,24.6888486,46.7177001,3.1,75,
17,The Arab Investment Company,ChIJ_Tb1DIUDLz4Rc5IaVu2sxo4,24.6907953,46.71753770000001,3.7,117,
18,American Express Customer Service,ChIJ94HVxYEDLz4RIhaadI01zZ8,24.6840891,46.7104306,4.3,6,
19,The Saudi Investment Bank Head Office,ChIJlw4TrYEDLz4RupvLvRuj33s,24.683491399999998,46.71106160000001,3.3,153,
20,Alkhair Capital,ChIJC8MAlCkDLz4RULOFUuwFcIg,24.6847127,46.7177758,4.0,16,
21,Alinma ATM,ChIJMW-0EZ0DLz4Rz855_6YnmH8,24.692282100000003,46.71076149999999,3.1,9,
22,The Saudi Investment Bank,ChIJgfh0wIEDLz4RJ6cLd2bRWwc,24.684414999999998,46.710565,4.1,8,
23,National Commercial Bank NCB ATM,ChIJy_PM3nsDLz4RIox80El2Yhs,24.6847312,46.7041191,4.6,10,
24,Tahweel Al Rajhi,ChIJ9WwCzZ0DLz4RmtreOIlh290,24.694660600000002,46.711408500000005,2.5,21,
25,SNB AlAhli,ChIJh5KUUQIFLz4RCVtnyNiyCJY,24.637783,46.70246479999999,3.4,51,
26,Bank Al Rajhi مصرف الراجحي,ChIJ8cYP1wkFLz4RORkk8aw3_4M,24.6301135,46.70935129999999,3.8,20,
27,Bank Albilad,ChIJSeCneqcFLz4R_Yw0yinY6ZU,24.630133999999998,46.70996419999999,3.8,11,Yes
28,Enjaz Albilad,ChIJ9QfB-wUFLz4Rwc6bY6jXRLk,24.631199399999996,46.70394829999999,3.5,34,Yes
29,NCB ATM,ChIJxwfSXgEFLz4RAYKLyqymtGc,24.6366656,46.7045314,4.3,6,
30,SABB,ChIJfwykydAGLz4R89_nAJHr52s,24.697885,46.78131399999999,2.8,64,
31,Arab National Bank ATM,ChIJn4AI9sUGLz4RUvVuljzABkk,24.6935143,46.77294379999999,4.0,2,
32,Quickpay - SNB ALAhli,ChIJJcgDCW9PJT4RJJpaRa2EdiY,24.149931,47.3037784,3.2,26,
33,Bank Al Jazira immediate,ChIJAbf0q29PJT4RDx-21mumHDA,24.1504175,47.304379600000004,4.3,6,
34,FAWRI BANK MONEY TRANSFER,ChIJj2oQq29PJT4RI45JLRzv3ks,24.1504533,47.3044344,3.8,19,
35,Enjaz Albilad Bank,ChIJAY01HW9PJT4RP4ex-I_PKxg,24.1498825,47.3044942,3.1,28,Yes
36,Al Rajhi Bank,ChIJM5vkOnpPJT4RG9dJf8CzJC0,24.155434600000003,47.3007345,2.4,70,
37,NCB ATM,ChIJ6Q2YAW9PJT4RIxlH6s3PPPM,24.1498973,47.3044848,3.4,5,
38,Al Rajhi Bank,ChIJBRrDrg6a9RURZTJY1uIcWQQ,20.470356600000002,44.7893708,3.1,43,
